Designator,Mid X,Mid Y,Rotation,Layer
C5,120.45,-93.49,0.0,top
C6,120.45,-96.5,0.0,top
C7,167.0,-82.99,0.0,top
C8,167.0,-86.0,0.0,top
J1,119.669,-61.342,180.0,top
J9,167.735,-61.342,0.0,top
R1,160.255,-76.8365,270.0,top
R2,160.255,-70.891,90.0,top
R3,126.4,-90.5755,90.0,top
R4,125.384,-76.0975,270.0,top
U1,143.418,-88.393,0.0,top
U4,118.75,-76.95,0.0,top
U5,169.05,-73.75,0.0,top
