0,0.87402,-3.0127,2.1739,263.97,-290.08,16.899,301,10.301
0.0007,1.6504,-3.1885,1.5801,303.45,-259.89,-47.217,301,10.511
0.0014,2.3682,-3.3691,1.06,313.81,-213.85,-103.38,301,10.722
0.0021,2.7979,-3.2422,0.50544,308.87,-152.96,-165.51,300.98,10.933
0.0028,3.042,-2.8125,-0.16194,301.97,-80.193,-229.13,300.97,11.143
0.0035,3.2471,-2.1826,-0.99617,282.23,-3.4651,-279.82,300.96,11.354
0.0042,3.3838,-1.5918,-1.7126,246.21,59.402,-310.14,300.94,11.565
0.0049,3.4375,-1.0742,-2.2966,192.43,114.84,-316.11,300.93,11.775
0.0056,3.1689,-0.47363,-2.6597,130.26,175.73,-311.63,300.92,11.986
0.0063,2.6611,0.24414,-2.8756,56.249,239.09,-299.21,300.9,12.197
0.007,1.9531,1.1084,-3.0474,-18.75,286.62,-276.34,300.89,12.407
0.0077,1.3477,1.8311,-3.1652,-78.945,309.88,-238.57,300.88,12.618
0.0084,0.8252,2.3682,-3.1848,-132.23,311.37,-182.41,300.87,12.828
0.0091,0.16602,2.7002,-2.8658,-195.39,304.93,-115.31,300.85,13.039
0.0098,-0.5957,2.9053,-2.3309,-255.09,290.58,-42.744,300.84,13.25
0.0105,-1.4648,3.1201,-1.693,-298.02,266.32,27.336,300.83,13.46
0.0112,-2.124,3.2471,-1.1581,-315.78,225.73,85.985,300.82,13.671
0.0119,-2.6025,3.2617,-0.70173,-315.78,166.82,142.15,300.82,13.881
0.0126,-2.9053,2.9102,-0.053979,-309.86,97.024,206.76,300.81,14.092
0.0133,-3.1396,2.334,0.75571,-292.1,22.771,264.91,300.79,14.303
0.014,-3.3301,1.6699,1.5899,-262.49,-47.522,300.7,300.78,14.513
0.0147,-3.3545,1.1328,2.1641,-214.14,-104.45,310.64,300.77,14.724
0.0154,-3.2324,0.6543,2.5419,-151.48,-161.38,310.14,300.77,14.934
0.0161,-2.7734,-0.058594,2.8118,-80.426,-225.23,300.7,300.77,15.145
0.0168,-2.1143,-0.91309,3.0179,-7.8945,-280.68,278.33,300.77,15.355
0.0175,-1.4453,-1.7578,3.1995,58.716,-310.87,247.02,300.76,15.566
0.0182,-0.90332,-2.2998,3.2044,114.47,-314.83,197.32,300.76,15.776
0.0189,-0.33691,-2.6562,3.0032,172.69,-311.37,130.22,300.76,15.987
0.0196,0.43457,-2.915,2.5076,233.38,-300.97,57.654,300.75,16.197
0.0203,1.2793,-3.1201,1.8844,285.68,-277.21,-11.929,300.75,16.408
0.021,2.0947,-3.3398,1.2955,310.35,-242.06,-73.559,300.74,16.619
0.0217,2.5732,-3.3154,0.79497,311.34,-190.09,-130.72,300.73,16.829
0.0224,2.9004,-3.0713,0.23555,307.39,-120.78,-193.34,300.73,17.04
0.0231,3.1494,-2.5342,-0.55452,296.04,-45.542,-253.48,300.74,17.25
0.0238,3.3447,-1.8994,-1.3691,267.92,25.246,-296.72,300.74,17.461
0.0245,3.4619,-1.2939,-2.0954,223.51,83.658,-315.11,300.74,17.671
0.0252,3.291,-0.75195,-2.488,166.77,140.59,-314.61,300.74,17.882
0.0259,2.9492,-0.15625,-2.7628,98.682,204.44,-307.66,300.73,18.092
0.0266,2.3242,0.66406,-2.964,22.203,262.36,-290.76,300.74,18.303
0.0273,1.665,1.4795,-3.1357,-46.38,300.48,-261.93,300.76,18.513
0.028,1.0449,2.1924,-3.229,-102.14,311.86,-215.71,300.77,18.724
