time,ia,ib,ic
9.5367431640625e-07,0.0,0.00912,0.0
0.030550003051757812,0.01824,0.0,0.01368
0.06090283393859863,0.0,0.00912,0.01368
0.11775374412536621,0.0,0.01824,0.00912
0.17724370956420898,0.00456,0.0,0.01824
0.20713067054748535,0.01824,0.01824,0.00912
0.2368297576904297,0.00456,0.00456,0.01368
0.2987058162689209,0.03647,0.02279,0.0
0.33033180236816406,0.00912,0.01368,0.00912
0.388502836227417,0.00912,0.00456,0.0
0.4167459011077881,0.0,0.00912,0.02279
0.4779026508331299,-0.00456,0.01368,0.00456
0.5067408084869385,0.00456,0.00912,0.00912
0.5721657276153564,0.00912,0.00912,0.01368
0.6027247905731201,0.01368,0.0,0.02279
0.6582057476043701,0.02735,0.0,0.00456
0.6944959163665771,0.00456,0.01368,0.00456
0.7205948829650879,0.00456,0.0,0.00912
0.7801039218902588,0.01824,0.0,0.02279
0.8068587779998779,0.00912,0.0,0.02279
0.8668978214263916,0.00456,0.01824,0.00912
0.9099278450012207,0.0,0.0,0.00456
0.9657158851623535,0.00456,0.01824,0.00912
0.9974970817565918,0.00456,0.00456,0.0
1.0567307472229004,0.00912,0.01368,0.01824
1.0769457817077637,0.01824,0.00456,0.00456
1.1378259658813477,0.0,0.0,0.0
1.1678597927093506,0.01824,0.03191,0.0
1.2295408248901367,0.01824,0.02279,0.00456
1.260174036026001,0.0,-0.00456,0.00912
1.3172478675842285,0.01824,0.00456,0.00912
1.3548200130462646,0.01368,0.02279,0.00456
1.3767857551574707,0.0,0.0,0.00912
1.4368948936462402,0.0,0.00456,0.00912
1.4723148345947266,0.00456,0.00456,-0.00456
1.5363597869873047,0.00912,0.00456,0.0
1.5573978424072266,0.00912,0.0,0.0
1.6178247928619385,0.02279,0.00912,0.00456
1.655503749847412,-0.00456,0.00456,0.00456
1.7078418731689453,-0.00456,0.03647,-0.00456
1.737884759902954,0.02279,0.00456,0.00912
1.8011717796325684,0.01368,0.01824,0.00456
1.8290038108825684,0.0,0.00456,0.00912
1.8882298469543457,0.0,0.00912,0.01368
1.9168739318847656,0.0,0.00912,0.02279
1.9862110614776611,0.0,0.00456,0.0
2.037731647491455,0.00456,0.0,0.00912
2.039820909500122,0.0,0.00912,0.02279
2.0999228954315186,0.0,0.02735,-0.00456
2.1381828784942627,0.0,0.0,0.0
2.188011884689331,0.0,0.00456,0.03191
2.2217819690704346,0.00456,0.01368,0.02279
2.2822608947753906,0.00912,0.0,0.0
2.3136708736419678,0.00912,0.00456,0.00912
2.3742330074310303,0.01824,0.0,0.0
2.396780014038086,0.0,0.00912,0.00912
2.457873821258545,0.0,0.0,0.0
2.486724853515625,0.00912,0.00912,0.01824
2.550689935684204,-0.02279,0.01368,0.0
2.5770838260650635,0.00456,0.0,0.0
2.637873888015747,0.00912,0.02279,0.01824
2.667559862136841,0.0,0.00456,0.00456
2.6990456581115723,-0.00912,-0.00456,0.0
2.7603230476379395,0.00912,0.0,0.00456
2.789930820465088,0.00912,0.01824,0.03647
2.850456953048706,0.00912,0.03191,0.00912
2.8796498775482178,0.0,0.0,0.0
2.938236713409424,0.00456,0.00456,0.00456
2.976163625717163,0.0,0.00456,-0.00912
3.0270018577575684,0.00912,0.01824,0.00456
3.057105779647827,0.00912,0.02279,0.00912
3.1196818351745605,0.0,0.00456,0.02279
3.154348850250244,0.00912,0.0,0.0
3.2082149982452393,0.00912,0.00456,0.01368
3.236865997314453,0.00912,0.01824,0.02279
3.2978878021240234,0.00456,0.00912,0.00456
3.3292579650878906,0.00456,0.0,0.00912
3.3571248054504395,0.03191,0.00912,0.0
3.4173097610473633,0.00912,-0.00456,0.00456
3.446715831756592,-0.00456,0.00456,-0.00456
3.506894826889038,0.00912,0.00912,0.00912
3.5368478298187256,0.0,0.0,0.0
3.5983710289001465,0.00456,0.01824,0.00456
3.6289398670196533,0.00912,0.0,-0.00456
3.6881017684936523,0.00456,0.03191,0.00912
3.7166807651519775,0.03191,-0.00456,0.01368
3.778073787689209,0.00912,0.02279,0.02279
3.806680917739868,0.01368,0.02279,0.00912
3.8683958053588867,-0.00456,-0.00456,0.0
3.896847724914551,-0.00912,0.01368,0.00456
3.9566478729248047,0.00456,0.01824,0.01824
3.9866957664489746,0.00912,0.02279,0.00456
4.025647878646851,0.02279,0.00912,0.00456
4.076708793640137,0.00456,0.01824,0.00456
4.115296840667725,0.01368,0.00912,0.01368
4.1678948402404785,0.0,0.00456,0.0
4.203634738922119,0.00456,0.0,0.00912
4.287683963775635,0.00456,-0.00456,-0.00456
4.289190769195557,0.00456,0.00912,0.0
4.355448007583618,0.01368,0.04103,0.00912
4.378443002700806,0.01824,0.0,0.02279
4.439858913421631,0.0,0.00912,0.00912
4.472326755523682,0.00456,0.0,0.0
4.527885913848877,-0.01368,0.0,0.00456
4.557219743728638,0.0,0.00456,0.0
