,time,ia,ib,ic
0,9.5367431640625e-07,0.00456,0.01368,0.00456
0,0.032492876052856445,0.00912,0.00912,0.00456
0,0.06460189819335938,0.00912,0.00912,0.00456
0,0.0678257942199707,0.00456,0.00912,0.00912
0,0.08979487419128418,0.00456,0.01368,0.00456
0,0.11946487426757812,0.01368,-0.00456,0.00456
0,0.13562893867492676,0.00456,0.02279,0.00456
0,0.15682387351989746,0.00912,0.0,0.01368
0,0.17858195304870605,0.00912,0.0,0.00912
0,0.19727778434753418,0.00456,0.00912,0.01368
0,0.2256789207458496,0.0,0.02735,0.00912
0,0.2553987503051758,-0.00456,0.01368,0.0
0,0.27684879302978516,0.01824,0.0,0.0
0,0.28469085693359375,0.01824,0.0,0.0
0,0.31595277786254883,0.02279,0.0,0.00912
0,0.3436739444732666,0.00912,0.01824,0.00456
0,0.36583495140075684,0.03191,0.0,0.01368
0,0.39118003845214844,0.01368,0.00912,-0.00912
0,0.40482401847839355,0.00456,0.01824,0.0
0,0.43411874771118164,0.0,0.0,0.0
0,0.4543619155883789,-0.00912,0.0,-0.00912
0,0.47912096977233887,0.00456,0.00912,0.01368
0,0.5050709247589111,0.0,-0.00456,0.00912
0,0.5236227512359619,0.00456,0.0,0.00456
0,0.5407390594482422,0.00456,0.0,0.00456
0,0.5708818435668945,-0.00912,0.00912,-0.00912
0,0.5900018215179443,-0.00912,0.00912,-0.00912
0,0.615358829498291,0.01368,0.01368,0.00912
0,0.6513278484344482,0.0,0.00912,0.0
0,0.6599769592285156,0.01824,0.00912,0.00912
0,0.702002763748169,0.0,0.01824,0.00912
0,0.7051517963409424,0.0,0.0,0.01368
0,0.7339718341827393,0.0,0.00456,0.02279
0,0.7500548362731934,0.01824,0.00456,0.00912
0,0.7790889739990234,0.0,0.00456,0.00456
0,0.7994189262390137,-0.00456,0.0,0.01368
0,0.8237569332122803,0.01824,-0.01368,-0.00912
0,0.8483428955078125,0.00912,-0.00456,0.03191
0,0.8701679706573486,0.00912,0.00456,0.0
0,0.8852598667144775,0.00912,0.00456,0.0
0,0.9147439002990723,0.0,0.0,0.00912
0,0.9448597431182861,0.00456,-0.00912,-0.00456
0,0.9624078273773193,0.01368,0.00912,0.0
0,0.9977908134460449,-0.00456,-0.00456,0.01368
0,1.004530906677246,0.0,0.0,0.0
0,1.0347497463226318,0.0,0.0,0.0
0,1.0667707920074463,0.0,0.0,0.0
0,1.079077959060669,0.01824,-0.00456,-0.00912
0,1.0954930782318115,0.01824,-0.00456,-0.00912
0,1.1308777332305908,0.01368,0.0,0.03647
0,1.1397857666015625,0.00456,0.00912,0.0
0,1.1686179637908936,0.00456,-0.01368,0.01824
0,1.2072041034698486,0.01824,0.00912,0.02279
0,1.2147648334503174,-0.00456,-0.00456,-0.00912
0,1.2452137470245361,0.03191,0.00456,0.01824
0,1.2729549407958984,0.00456,0.00912,0.00456
